9.464725,1.682482,19.687174
9.409072,1.550414,19.845604
9.608614,1.474207,20.210680
9.818815,1.499176,20.339016
9.793906,1.499456,20.181427
9.555449,1.401676,20.181252
9.608409,1.284916,20.605133
9.894131,1.208845,21.124197
10.055036,1.168497,21.410103
10.083503,1.130266,21.455746
9.973873,1.069702,21.632893
9.814745,1.002416,22.149685
9.868937,1.051456,22.780035
9.808455,1.179708,23.129871
9.383698,1.274671,23.219027
8.707020,1.319169,23.451469
8.037220,1.411274,23.768152
7.262148,1.585906,23.791590
6.306889,1.747231,23.593302
5.279287,1.794960,23.424191
4.341467,1.726429,23.340467
3.359085,1.573600,23.241755
2.369237,1.340442,23.080009
1.527317,0.987217,22.901430
0.852546,0.527027,22.891993
0.399254,-0.050126,23.013872
0.048056,-0.818096,23.028912
-0.263029,-1.801969,23.067348
-0.254574,-2.879400,23.462145
0.027777,-3.900955,23.990078
0.490159,-4.774227,24.334986
1.088738,-5.438895,24.641806
1.405376,-5.953719,25.065287
1.490723,-6.253032,25.674097
2.396724,-6.358799,26.661831
3.246894,-6.647889,27.354048
3.720940,-6.947339,27.492989
4.588083,-6.940788,27.531330
5.479639,-6.844713,27.778030
6.227236,-6.656785,27.797977
7.079718,-6.455868,27.876688
7.973607,-6.163599,27.972710
8.786102,-5.694622,28.258352
9.531135,-5.190394,28.384565
10.912621,-4.442856,28.509140
10.864303,-4.265782,28.515366
11.275041,-3.477104,28.286089
11.845979,-2.744583,28.055782
14.022470,-1.204213,27.467758
14.400835,-0.726742,27.548563
13.061015,0.043131,25.242435
12.476136,0.621749,25.248194
10.972467,1.269041,25.094597
9.879795,1.699236,24.493311
8.352494,1.987879,23.860868
8.334558,2.099649,23.814411
5.077276,2.153504,23.325403
3.630805,2.255599,23.077145
2.381953,2.510685,23.101912
0.890477,2.871607,22.998560
-1.016857,3.198120,22.786652
-3.020748,3.372520,22.711559
-4.837269,3.316798,23.020861
-6.454432,3.041149,23.650732
-7.899826,2.524828,24.437227
-9.207325,1.747402,25.461830
-10.468095,0.749091,26.415798
-11.281140,-0.438820,27.099857
-11.291923,-1.827069,27.620604
-10.478634,-3.324662,27.796827
-9.160193,-4.708412,27.884541
-7.649624,-5.809553,27.909285
-6.377324,-6.616105,27.581909
-5.367480,-7.293908,27.229944
-4.182189,-7.803627,27.120623
-2.857333,-8.082246,27.094933
-1.475753,-8.114422,27.297998
-0.085026,-7.790242,27.922136
1.374542,-7.266050,28.957455
2.612206,-6.841321,29.335985
3.480004,-6.454158,28.877522
4.212060,-5.808466,28.401062
4.447534,-5.081753,28.256432
4.277898,-4.500795,28.105755
4.438702,-3.853841,27.615263
4.702484,-3.068109,27.038465
4.888128,-2.210414,26.427023
4.668352,-1.303317,25.352135
3.974526,-0.452379,24.080984
3.360483,0.221885,23.676674
2.750510,0.842097,23.821810
1.780258,1.447131,23.719284
0.883406,1.965639,23.287714
0.150225,2.290262,22.937965
-0.479343,2.433275,23.058451
-1.157116,2.467578,23.167715
-1.777088,2.466654,23.042152
-2.154049,2.319396,22.637362
-2.351858,1.975705,22.202772
-2.448211,1.533817,21.971230
-2.703856,1.166251,21.527082
-3.238648,0.851537,20.551224
-3.426508,0.546069,19.518518
-3.307724,0.242964,18.522043
-3.423791,-0.109459,17.408850
-3.466990,-0.496123,16.568682
-3.313908,-0.842177,15.688686
-2.887623,-1.093572,14.822592
-2.588927,-1.259286,13.975266
-2.433018,-1.404622,13.222157
-2.054125,-1.567233,12.491570
-1.640220,-1.774492,11.572005
-1.150609,-2.034672,10.840904
-0.129223,-2.263859,10.601563
1.169604,-2.350857,10.546843
2.155326,-2.341958,10.658895
3.519102,-2.198966,11.296757
4.618785,-1.971601,11.442609
4.875467,-1.822019,11.211534
5.618612,-1.733460,11.835218
6.087781,-1.722698,12.518935
6.460093,-1.806415,13.422205
6.924261,-1.897957,14.443238
6.982751,-2.015972,15.330487
7.229944,-2.084167,16.538107
7.254421,-2.105746,17.576000
7.134123,-2.079810,18.373285
6.746102,-2.033350,18.942520
6.179338,-1.955103,19.513943
5.613617,-1.815654,20.261225
5.070408,-1.640603,20.979277
4.563517,-1.449485,21.417892
3.933137,-1.335932,21.782063
3.364842,-1.324933,22.274982
2.900574,-1.416798,22.768412
2.276325,-1.600155,22.896736
1.715688,-1.840675,22.763998
1.316461,-2.124815,22.820814
0.994663,-2.444068,22.916271
0.682657,-2.693731,22.380220
0.550829,-2.821732,21.544039
0.864974,-2.845614,21.093859
1.098654,-2.820798,20.982464
0.867940,-2.726823,20.842131
0.912459,-2.563374,20.680460
0.940644,-2.476207,20.465618
0.720781,-2.505432,20.442574
0.756937,-2.548384,20.623779
0.652757,-2.619011,20.656122
0.572846,-2.700826,20.727322
0.704790,-2.770891,20.890678
0.569890,-2.839268,20.953028
0.408254,-2.862613,20.991112
